"","Diagnostic","morphological_parameter","clinical_test","Correlation","pvalue","eff.size","ROI","Age_correction","pval.adj"
"105","CTL","K","DIGIT SPAN BACK",0.13,0.1143,0.26,"Hemisphere","yes",0.4572
"106","CTL","K","Lipoxina",-0.11,0.4397,-0.22,"Hemisphere","yes",0.8794
"107","CTL","K","TAU",-0.19,0.1488,-0.39,"Hemisphere","yes",0.2976
"108","CTL","K","TAU_AB1_42_ratio",-0.021,0.8739,-0.04,"Hemisphere","yes",1
"109","CTL","K","TAU_AB1_ratio",-0.065,0.6292,-0.13,"Hemisphere","yes",1
"110","CTL","K","TMT B-A",0.069,0.3912,0.14,"Hemisphere","yes",1
"111","CTL","logAvgThickness","A7/A5",0.23,0.003621,0.47,"Hemisphere","no",0.014484
"112","CTL","logAvgThickness","AB1_ratio",0.07,0.6015,0.14,"Hemisphere","no",1
"113","CTL","logAvgThickness","AB1-40",-0.18,0.1777,-0.37,"Hemisphere","no",0.3554
"114","CTL","logAvgThickness","AB1-42",-0.28,0.03493,-0.58,"Hemisphere","no",0.06986
"115","CTL","logAvgThickness","COGNITIVE_INDEX",0.34,1.63e-05,0.72,"Hemisphere","no",3.26e-05
"116","CTL","logAvgThickness","DIGIT SPAN BACK",0.058,0.4752,0.12,"Hemisphere","no",1
"117","CTL","logAvgThickness","Lipoxina",-0.4,0.002244,-0.87,"Hemisphere","no",0.004488
"118","CTL","logAvgThickness","TAU",-0.31,0.01731,-0.65,"Hemisphere","no",0.03462
"119","CTL","logAvgThickness","TAU_AB1_42_ratio",-0.037,0.7823,-0.07,"Hemisphere","no",1
"120","CTL","logAvgThickness","TAU_AB1_ratio",-0.12,0.3525,-0.24,"Hemisphere","no",0.705
"121","CTL","logAvgThickness","TMT B-A",-0.04,0.6232,-0.08,"Hemisphere","no",1
"122","CTL","logAvgThickness","A7/A5",0.099,0.2181,0.2,"Hemisphere","yes",0.8724
"123","CTL","logAvgThickness","AB1_ratio",0.073,0.5867,0.15,"Hemisphere","yes",1
"124","CTL","logAvgThickness","AB1-40",-0.15,0.2666,-0.3,"Hemisphere","yes",0.5332
