"","Sample","ROI","c"
"245","IDOR","O",3.03696875098558
"246","IDOR","O",3.16144730855574
"247","IDOR","hemisphere",NA
"248","IDOR","hemisphere",NA
"249","IDOR","F",1.85820063080454
"250","IDOR","F",1.87127552372262
"251","IDOR","P",4.30270179191473
"252","IDOR","P",4.68376090307539
"253","IDOR","T",3.33401510935803
"254","IDOR","T",3.37919703307613
"255","IDOR","O",3.43412375318571
"256","IDOR","O",3.21886483580672
"257","IDOR","hemisphere",NA
"258","IDOR","hemisphere",NA
"259","IDOR","F",1.95268140711766
"260","IDOR","F",1.92911261620843
"261","IDOR","P",4.20521742513399
"262","IDOR","P",4.04648518214171
"263","IDOR","T",3.61282606391711
"264","IDOR","T",3.72281735974364
"265","IDOR","O",3.43866008124972
"266","IDOR","O",2.88014187318942
"267","IDOR","hemisphere",NA
"268","IDOR","hemisphere",NA
"269","IDOR","F",2.02171263862093
"270","IDOR","F",2.01729023490046
"271","IDOR","P",5.49661557119734
"272","IDOR","P",4.65466301344215
"273","IDOR","T",3.61913007964297
"274","IDOR","T",3.50137140961132
"275","IDOR","O",3.34939162685085
"276","IDOR","O",3.83521602899343
"277","IDOR","hemisphere",NA
"278","IDOR","hemisphere",NA
"279","IDOR","F",2.01605258293693
"280","IDOR","F",2.13890569201863
"281","IDOR","P",3.54225362143027
"282","IDOR","P",3.80500937486915
"283","IDOR","T",3.53220788373712
"284","IDOR","T",3.49216520272345
"285","IDOR","O",3.02472637970979
"286","IDOR","O",3.09049020477369
"287","IDOR","hemisphere",NA
"288","IDOR","hemisphere",NA
"289","IDOR","F",1.90189172606251
"290","IDOR","F",1.86972958749351
"291","IDOR","P",4.82537706554675
"292","IDOR","P",4.1742652514259
"293","IDOR","T",3.84989953680493
"294","IDOR","T",4.40731656759424
"295","IDOR","O",3.23124091970297
"296","IDOR","O",2.87877312688675
"297","IDOR","hemisphere",NA
"298","IDOR","hemisphere",NA
"299","IDOR","F",2.10298619963046
"300","IDOR","F",2.12063065534969
"301","IDOR","P",4.21817138162871
"302","IDOR","P",4.02376820604666
"303","IDOR","T",3.1583747647271
"304","IDOR","T",3.29235188544901
"305","IDOR","O",3.64203026285356
"306","IDOR","O",3.88013557022691
"307","IDOR","hemisphere",NA
"308","IDOR","hemisphere",NA
"309","IDOR","F",1.99573235632558
"310","IDOR","F",1.97238391408202
"311","IDOR","P",4.01821781086124
"312","IDOR","P",4.09898894778108
"313","IDOR","T",3.47108083303193
"314","IDOR","T",3.61126741002425
"315","IDOR","O",3.47686383517464
"316","IDOR","O",3.17921789859366
"317","IDOR","hemisphere",NA
"318","IDOR","hemisphere",NA
"319","IDOR","F",1.95054086677644
"320","IDOR","F",2.07791578436544
"321","IDOR","P",3.8030084949131
"322","IDOR","P",3.80410417444632
"323","IDOR","T",3.97020734299998
"324","IDOR","T",4.2060480716415
"325","IDOR","O",3.24055517542341
"326","IDOR","O",2.71214806781556
"327","IDOR","hemisphere",NA
"328","IDOR","hemisphere",NA
"329","IDOR","F",1.78796262919899
"330","IDOR","F",1.93162958266201
"331","IDOR","P",4.43729434501421
"332","IDOR","P",4.73885850308993
"333","IDOR","T",3.4862583626569
"334","IDOR","T",3.23759314638805
"335","IDOR","O",3.2677419535735
"336","IDOR","O",3.45041233528807
"337","IDOR","hemisphere",NA
