rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ083/SUBJ083_ses-1.long.SUBJ083_tmpl	109066.0	1198933.0	1684898.63547
SUBJ083/SUBJ083_ses-2	108842.0	1202412.0	1705743.47913
SUBJ083/SUBJ083_ses-2.long.SUBJ083_tmpl	107077.0	1177758.0	1684898.63547
SUBJ083/SUBJ083_ses-3	108026.0	1174693.0	1659623.31905
SUBJ083/SUBJ083_ses-3.long.SUBJ083_tmpl	106926.0	1170511.0	1684898.63547
SUBJ083/SUBJ083_ses-4	109372.0	1160740.0	1532904.61792
SUBJ083/SUBJ083_ses-4.long.SUBJ083_tmpl	108629.0	1151401.0	1684898.63547
SUBJ086/SUBJ086_ses-1	93461.0	1006408.0	1340817.64925
SUBJ086/SUBJ086_ses-1.long.SUBJ086_tmpl	92889.0	1002505.0	1349679.48227
SUBJ086/SUBJ086_ses-2	93030.0	999240.0	1336352.36292
SUBJ086/SUBJ086_ses-2.long.SUBJ086_tmpl	92320.0	992600.0	1349679.48227
SUBJ090/SUBJ090_ses-1	97787.0	961566.0	1466167.54361
SUBJ090/SUBJ090_ses-1.long.SUBJ090_tmpl	96481.0	950657.0	1463089.88188
SUBJ090/SUBJ090_ses-2	95391.0	945834.0	1466383.04122
SUBJ090/SUBJ090_ses-2.long.SUBJ090_tmpl	95989.0	938375.0	1463089.88188
SUBJ091/SUBJ091_ses-1	96427.0	949094.0	1319462.03983
SUBJ091/SUBJ091_ses-1.long.SUBJ091_tmpl	95495.0	942938.0	1316131.66783
SUBJ092/SUBJ092_ses-1	100401.0	1022273.0	1539825.69731
SUBJ092/SUBJ092_ses-1.long.SUBJ092_tmpl	98943.0	1009666.0	1539888.2341
SUBJ092/SUBJ092_ses-2	100518.0	1012901.0	1514902.54407
SUBJ092/SUBJ092_ses-2.long.SUBJ092_tmpl	99154.0	993019.0	1539888.2341
SUBJ092/SUBJ092_ses-3	99330.0	979772.0	1549641.91464
SUBJ092/SUBJ092_ses-3.long.SUBJ092_tmpl	98667.0	974941.0	1539888.2341
SUBJ093/SUBJ093_ses-1	117729.0	1193793.0	1821563.82786
SUBJ093/SUBJ093_ses-1.long.SUBJ093_tmpl	116354.0	1187703.0	1835693.87422
SUBJ093/SUBJ093_ses-2	116379.0	1182069.0	1834471.89581
SUBJ093/SUBJ093_ses-2.long.SUBJ093_tmpl	115406.0	1170594.0	1835693.87422
SUBJ093/SUBJ093_ses-3	101691.0	1003868.0	1633472.82642
SUBJ093/SUBJ093_ses-3.long.SUBJ093_tmpl	112607.0	1051023.0	1835693.87422
SUBJ094/SUBJ094_ses-1	111214.0	1127200.0	1593464.47074
SUBJ094/SUBJ094_ses-1.long.SUBJ094_tmpl	109494.0	1121276.0	1575967.83243
SUBJ094/SUBJ094_ses-2	109516.0	1112369.0	1563275.0671
SUBJ094/SUBJ094_ses-2.long.SUBJ094_tmpl	108507.0	1112783.0	1575967.83243
SUBJ094/SUBJ094_ses-3	109489.0	1122460.0	1572372.55942
SUBJ094/SUBJ094_ses-3.long.SUBJ094_tmpl	108366.0	1116048.0	1575967.83243
SUBJ094/SUBJ094_ses-4	97500.0	959287.0	1362932.06676
SUBJ094/SUBJ094_ses-4.long.SUBJ094_tmpl	105176.0	995533.0	1575967.83243
SUBJ095/SUBJ095_ses-1	95631.0	984845.0	1568801.93607
SUBJ095/SUBJ095_ses-1.long.SUBJ095_tmpl	94207.0	964003.0	1566051.93422
SUBJ096/SUBJ096_ses-1	103150.0	1087585.0	1420130.01079
SUBJ096/SUBJ096_ses-1.long.SUBJ096_tmpl	102195.0	1077844.0	1419536.40549
SUBJ096/SUBJ096_ses-2	102057.0	1084148.0	1426594.4446
SUBJ096/SUBJ096_ses-2.long.SUBJ096_tmpl	100619.0	1077497.0	1419536.40549
SUBJ097/SUBJ097_ses-1	85325.0	857641.0	1259626.57075
SUBJ097/SUBJ097_ses-1.long.SUBJ097_tmpl	83966.0	846756.0	1265926.4395
SUBJ097/SUBJ097_ses-2	86147.0	879627.0	1279555.9608
SUBJ097/SUBJ097_ses-2.long.SUBJ097_tmpl	83803.0	850508.0	1265926.4395
SUBJ099/SUBJ099_ses-1	99834.0	1052461.0	1563039.42165
SUBJ099/SUBJ099_ses-1.long.SUBJ099_tmpl	99185.0	1036610.0	1574175.42162
SUBJ099/SUBJ099_ses-2	98955.0	1035335.0	1571674.97116
SUBJ099/SUBJ099_ses-2.long.SUBJ099_tmpl	98232.0	1023895.0	1574175.42162
SUBJ099/SUBJ099_ses-3	98273.0	1025460.0	1583288.30526
SUBJ099/SUBJ099_ses-3.long.SUBJ099_tmpl	97354.0	1016805.0	1574175.42162
SUBJ100/SUBJ100_ses-1	95653.0	896717.0	1465894.77609
SUBJ100/SUBJ100_ses-1.long.SUBJ100_tmpl	94645.0	893563.0	1462373.06071
SUBJ100/SUBJ100_ses-2	94912.0	905871.0	1460671.87184
SUBJ100/SUBJ100_ses-2.long.SUBJ100_tmpl	93813.0	890421.0	1462373.06071
SUBJ100/SUBJ100_ses-3	93072.0	860881.0	1445731.05257
SUBJ100/SUBJ100_ses-3.long.SUBJ100_tmpl	91974.0	851545.0	1462373.06071
SUBJ101/SUBJ101_ses-1	106806.0	1153737.0	1698179.18724
SUBJ101/SUBJ101_ses-1.long.SUBJ101_tmpl	105360.0	1142877.0	1707737.21796
