rh.aparc.area	bankssts	caudalanteriorcingulate	caudalmiddlefrontal	cuneus	entorhinal	fusiform	inferiorparietal	inferiortemporal	isthmuscingulate	lateraloccipital	lateralorbitofrontal	lingual	medialorbitofrontal	middletemporal	parahippocampal	paracentral	parsopercularis	parsorbitalis	parstriangularis	pericalcarine	postcentral	posteriorcingulate	precentral	precuneus	rostralanteriorcingulate	rostralmiddlefrontal	superiorfrontal	superiorparietal	superiortemporal	supramarginal	frontalpole	temporalpole	transversetemporal	insula	WhiteSurfArea	BrainSegVolNotVent	eTIV
SUBJ010/SUBJ010_ses-3	809.0	752.0	1936.0	1703.0	397.0	2386.0	4581.0	2796.0	961.0	4559.0	2533.0	3097.0	1637.0	3401.0	584.0	1463.0	1220.0	934.0	1827.0	1795.0	3717.0	1013.0	5011.0	3253.0	504.0	5402.0	6172.0	5073.0	3405.0	3304.0	313.0	484.0	308.0	2094.0	79423.0	1017625.0	1504921.93009
SUBJ010/SUBJ010_ses-3.long.SUBJ010_tmpl	818.0	691.0	1887.0	1726.0	326.0	2303.0	4564.0	2769.0	907.0	4341.0	2710.0	2974.0	1636.0	3267.0	586.0	1382.0	1191.0	912.0	1797.0	1834.0	3605.0	1002.0	4625.0	3239.0	538.0	5400.0	5973.0	4897.0	3335.0	3296.0	276.0	447.0	311.0	2126.0	77684.6	1009770.0	1510859.36526
SUBJ011/SUBJ011_ses-1	907.0	582.0	2503.0	1664.0	505.0	2574.0	4147.0	3652.0	740.0	4480.0	2654.0	2739.0	2051.0	3003.0	560.0	1728.0	1375.0	734.0	1198.0	1636.0	4048.0	844.0	5375.0	3670.0	550.0	5698.0	7303.0	5221.0	3369.0	3862.0	252.0	432.0	357.0	2176.0	82586.3	977975.0	1512501.17325
SUBJ011/SUBJ011_ses-1.long.SUBJ011_tmpl	878.0	585.0	2351.0	1561.0	533.0	2532.0	3948.0	3411.0	1041.0	4241.0	2354.0	2563.0	1753.0	2874.0	588.0	1693.0	1396.0	727.0	1202.0	1573.0	3911.0	1017.0	5045.0	3697.0	473.0	5576.0	7327.0	4980.0	3305.0	3776.0	231.0	414.0	363.0	2525.0	80442.3	947879.0	1511040.41697
SUBJ014/SUBJ014_ses-1	770.0	653.0	2106.0	1868.0	693.0	3160.0	4877.0	3308.0	895.0	5287.0	2953.0	3259.0	1839.0	3223.0	699.0	1560.0	1282.0	852.0	1650.0	1734.0	4785.0	1059.0	5214.0	4071.0	698.0	6443.0	7816.0	5072.0	3345.0	4249.0	329.0	453.0	283.0	2308.0	88787.2	1072741.0	1671506.47398
SUBJ014/SUBJ014_ses-1.long.SUBJ014_tmpl	783.0	659.0	2120.0	1778.0	660.0	3071.0	4584.0	3167.0	918.0	5241.0	2947.0	3173.0	1695.0	3121.0	650.0	1553.0	1272.0	780.0	1613.0	1717.0	4723.0	1116.0	5074.0	4049.0	640.0	6359.0	7832.0	4948.0	3256.0	4155.0	290.0	432.0	293.0	2288.0	86957.8	1056419.0	1672892.97302
SUBJ018/SUBJ018_ses-1	861.0	521.0	1752.0	1253.0	440.0	2273.0	4494.0	2700.0	690.0	4258.0	2331.0	2321.0	1661.0	3004.0	540.0	1392.0	1226.0	734.0	1339.0	1170.0	3769.0	1007.0	4651.0	3144.0	468.0	5188.0	5777.0	4340.0	3705.0	2897.0	250.0	407.0	351.0	2181.0	73087.7	926824.0	1417546.79044
SUBJ018/SUBJ018_ses-1.long.SUBJ018_tmpl	794.0	535.0	1813.0	1171.0	427.0	2345.0	4437.0	2775.0	669.0	4286.0	2328.0	2324.0	1609.0	3087.0	503.0	1413.0	1232.0	690.0	1288.0	1275.0	3676.0	915.0	4630.0	3042.0	457.0	5249.0	5800.0	4314.0	3863.0	2827.0	232.0	447.0	305.0	2428.0	73183.8	927183.0	1418593.48087
SUBJ018/SUBJ018_ses-2	936.0	559.0	2031.0	1283.0	503.0	2654.0	5333.0	3285.0	711.0	4742.0	2603.0	2452.0	1668.0	3421.0	553.0	1681.0	1230.0	850.0	1508.0	1234.0	3954.0	1015.0	4956.0	3365.0	463.0	6274.0	6443.0	4911.0	4246.0	3166.0	267.0	426.0	351.0	2595.0	81666.8	976984.0	1417118.51887
SUBJ018/SUBJ018_ses-2.long.SUBJ018_tmpl	781.0	494.0	1866.0	1212.0	412.0	2411.0	4908.0	2767.0	667.0	4484.0	2347.0	2411.0	1558.0	3081.0	485.0	1480.0	1248.0	760.0	1405.0	1262.0	3767.0	879.0	4741.0	3115.0	396.0	5811.0	5978.0	4551.0	3892.0	2853.0	274.0	453.0	289.0	2493.0	75505.7	917676.0	1418593.48087
SUBJ024/SUBJ024_ses-1	796.0	749.0	2470.0	1434.0	512.0	2638.0	6064.0	2641.0	912.0	4777.0	2508.0	2851.0	1879.0	2946.0	630.0	1530.0	1174.0	829.0	1585.0	1586.0	3631.0	1141.0	4769.0	3635.0	424.0	6494.0	6856.0	5708.0	3669.0	3369.0	251.0	439.0	350.0	2380.0	83611.7	1023227.0	1615085.55663
SUBJ024/SUBJ024_ses-1.long.SUBJ024_tmpl	797.0	761.0	2443.0	1431.0	473.0	2669.0	5868.0	2607.0	950.0	4717.0	2393.0	2791.0	1767.0	2974.0	546.0	1484.0	1229.0	812.0	1488.0	1568.0	3637.0	1141.0	4746.0	3677.0	398.0	6451.0	6844.0	5535.0	3692.0	3323.0	304.0	414.0	338.0	2652.0	82921.1	999104.0	1614890.36439
SUBJ025/SUBJ025_ses-1	912.0	654.0	2126.0	1567.0	462.0	2872.0	4782.0	3119.0	857.0	4967.0	2239.0	3793.0	1682.0	3029.0	530.0	1460.0	1387.0	810.0	1616.0	1638.0	4273.0	1030.0	5473.0	3821.0	598.0	4729.0	7431.0	4937.0	3838.0	3381.0	276.0	427.0	339.0	2614.0	83660.1	1049001.0	1535139.19921
SUBJ025/SUBJ025_ses-1.long.SUBJ025_tmpl	869.0	621.0	2008.0	1451.0	470.0	2729.0	4758.0	2948.0	891.0	4765.0	2470.0	3605.0	1560.0	3007.0	528.0	1445.0	1371.0	783.0	1602.0	1625.0	4264.0	1027.0	5412.0	3812.0	540.0	4465.0	7318.0	4805.0	3710.0	3331.0	277.0	427.0	341.0	2172.0	81407.1	1027430.0	1535129.39304
SUBJ027/SUBJ027_ses-1	800.0	635.0	1734.0	1436.0	451.0	2802.0	4126.0	3029.0	765.0	4215.0	2604.0	2723.0	1624.0	2898.0	481.0	1291.0	1331.0	768.0	1277.0	1481.0	3525.0	911.0	4270.0	3564.0	550.0	6006.0	6017.0	4784.0	3250.0	3120.0	232.0	509.0	294.0	2065.0	75560.6	969937.0	1443324.65023
SUBJ027/SUBJ027_ses-1.long.SUBJ027_tmpl	850.0	666.0	1759.0	1446.0	443.0	2766.0	4252.0	2989.0	780.0	4307.0	2399.0	2788.0	1702.0	2914.0	488.0	1213.0	1295.0	736.0	1305.0	1447.0	3446.0	907.0	4257.0	3537.0	568.0	5922.0	6024.0	4652.0	3228.0	3101.0	245.0	529.0	326.0	2006.0	75291.3	965976.0	1443754.87963
SUBJ027/SUBJ027_ses-2	885.0	638.0	1635.0	1468.0	454.0	2804.0	5000.0	3181.0	802.0	4661.0	2392.0	2772.0	1640.0	3118.0	502.0	1353.0	1268.0	785.0	1417.0	1429.0	3743.0	875.0	4539.0	3646.0	564.0	6459.0	5838.0	5315.0	3279.0	3267.0	278.0	454.0	359.0	2183.0	79002.7	954307.0	1445393.21818
SUBJ027/SUBJ027_ses-2.long.SUBJ027_tmpl	853.0	635.0	1744.0	1429.0	424.0	2711.0	4644.0	3028.0	785.0	4403.0	2375.0	2713.0	1657.0	2913.0	477.0	1310.0	1266.0	728.0	1274.0	1425.0	3595.0	880.0	4388.0	3527.0	538.0	6093.0	5885.0	5242.0	3219.0	3188.0	231.0	480.0	335.0	1995.0	76388.5	934738.0	1443754.87963
SUBJ030/SUBJ030_ses-1	830.0	568.0	1632.0	1587.0	276.0	2326.0	4260.0	2510.0	649.0	4193.0	1957.0	2393.0	1259.0	2893.0	484.0	1291.0	1129.0	576.0	1295.0	1434.0	3395.0	1027.0	3871.0	3474.0	441.0	4245.0	5821.0	4447.0	2868.0	2794.0	249.0	373.0	269.0	1778.0	68591.7	818481.0	1318328.52582
SUBJ030/SUBJ030_ses-1.long.SUBJ030_tmpl	866.0	668.0	1575.0	1539.0	274.0	2337.0	4408.0	2572.0	698.0	4236.0	1861.0	2388.0	1441.0	2826.0	482.0	1323.0	1073.0	608.0	1322.0	1418.0	3426.0	1068.0	3870.0	3443.0	491.0	4125.0	5807.0	4614.0	2806.0	2771.0	258.0	337.0	272.0	1868.0	69071.8	807878.0	1317783.06056
SUBJ035/SUBJ035_ses-1	726.0	1344.0	2522.0	2346.0	480.0	2844.0	5929.0	3714.0	1275.0	7546.0	3052.0	4051.0	1952.0	3879.0	706.0	1600.0	1634.0	882.0	1759.0	1860.0	4300.0	1251.0	5100.0	4783.0	882.0	6987.0	6552.0	6329.0	4582.0	4515.0	225.0	420.0	358.0	3109.0	99471.7	1176440.0	1906330.2151
SUBJ035/SUBJ035_ses-1.long.SUBJ035_tmpl	707.0	1292.0	2350.0	2245.0	389.0	2848.0	5551.0	3442.0	1202.0	7129.0	2949.0	3969.0	2023.0	3665.0	681.0	1588.0	1583.0	801.0	1702.0	1758.0	4124.0	1234.0	4734.0	4557.0	855.0	6710.0	6469.0	6104.0	4447.0	4618.0	200.0	482.0	355.0	3099.0	95860.2	1129974.0	1908008.65165
SUBJ039/SUBJ039_ses-1	947.0	600.0	2051.0	1849.0	315.0	2720.0	5227.0	2863.0	890.0	3904.0	3008.0	3274.0	2149.0	3349.0	725.0	1560.0	1186.0	754.0	1195.0	1905.0	4394.0	1075.0	5239.0	3109.0	633.0	5447.0	6713.0	4855.0	3840.0	4000.0	268.0	452.0	382.0	2218.0	83085.1	993197.0	1558587.95514
SUBJ039/SUBJ039_ses-1.long.SUBJ039_tmpl	902.0	657.0	2065.0	1812.0	325.0	2669.0	5250.0	2773.0	817.0	3841.0	2941.0	3283.0	1974.0	3294.0	713.0	1509.0	1197.0	695.0	1159.0	1915.0	4361.0	1100.0	5114.0	3098.0	592.0	5284.0	6633.0	4768.0	3803.0	3935.0	276.0	452.0	354.0	2410.0	81972.4	984605.0	1558664.81014
SUBJ046/SUBJ046_ses-1	913.0	599.0	1705.0	1358.0	309.0	2628.0	4697.0	2790.0	788.0	3915.0	2151.0	2408.0	1452.0	2963.0	575.0	1303.0	1191.0	723.0	1176.0	1111.0	3160.0	966.0	4056.0	3140.0	542.0	4956.0	6220.0	4108.0	3333.0	3431.0	272.0	474.0	288.0	2174.0	71870.5	941995.0	1374772.40454
SUBJ046/SUBJ046_ses-1.long.SUBJ046_tmpl	824.0	578.0	1613.0	1416.0	323.0	2643.0	4977.0	2730.0	806.0	3932.0	2073.0	2472.0	1318.0	2919.0	581.0	1286.0	1157.0	761.0	1198.0	1175.0	3093.0	919.0	3921.0	3179.0	585.0	4965.0	6148.0	4147.0	3182.0	3336.0	278.0	480.0	286.0	2250.0	71551.1	940301.0	1375793.57414
SUBJ048/SUBJ048_ses-1	939.0	817.0	2207.0	1571.0	509.0	3367.0	6487.0	3564.0	961.0	5091.0	2620.0	2901.0	1805.0	4046.0	750.0	1578.0	1386.0	804.0	1626.0	1655.0	3826.0	1291.0	4791.0	4030.0	666.0	6752.0	7539.0	6440.0	3772.0	3598.0	286.0	552.0	319.0	2903.0	91434.1	1170806.0	1745124.15922
SUBJ048/SUBJ048_ses-1.long.SUBJ048_tmpl	965.0	810.0	2277.0	1656.0	483.0	3407.0	6460.0	3545.0	946.0	5122.0	2589.0	3002.0	1895.0	4058.0	720.0	1548.0	1382.0	786.0	1558.0	1682.0	3773.0	1259.0	4832.0	4019.0	688.0	6614.0	7483.0	6388.0	3735.0	3525.0	296.0	565.0	323.0	2865.0	91256.3	1162475.0	1745203.92449
SUBJ048/SUBJ048_ses-2	983.0	810.0	2252.0	1631.0	546.0	3353.0	6550.0	3681.0	983.0	5191.0	2701.0	2946.0	1961.0	3996.0	724.0	1632.0	1447.0	772.0	1604.0	1667.0	3830.0	1266.0	4887.0	3990.0	652.0	6743.0	7476.0	6430.0	3748.0	3523.0	299.0	508.0	316.0	2342.0	91434.9	1161421.0	1751451.7277
SUBJ048/SUBJ048_ses-2.long.SUBJ048_tmpl	944.0	788.0	2241.0	1637.0	480.0	3388.0	6425.0	3574.0	986.0	5105.0	2525.0	2949.0	1814.0	4058.0	719.0	1562.0	1387.0	781.0	1561.0	1656.0	3745.0	1251.0	4853.0	3994.0	663.0	6546.0	7391.0	6315.0	3707.0	3472.0	305.0	542.0	308.0	2799.0	90472.7	1146949.0	1745203.92449
SUBJ051/SUBJ051_ses-1	736.0	711.0	1795.0	1375.0	366.0	2449.0	5279.0	3071.0	805.0	4892.0	2448.0	2863.0	1760.0	3354.0	643.0	1416.0	961.0	719.0	1087.0	1227.0	3847.0	1106.0	4617.0	3806.0	533.0	5736.0	6616.0	5649.0	3250.0	3940.0	219.0	471.0	298.0	2592.0	80637.6	1073373.0	1684821.68186
